200 200
0 0 73
0 1 4
0 2 6
0 3 74
0 4 62
0 5 51
0 6 7
0 7 86
0 8 86
0 9 73
0 10 57
0 11 26
0 12 22
0 13 83
0 14 22
0 15 96
0 16 28
0 17 30
0 18 9
0 19 29
0 20 71
0 21 80
0 22 8
0 23 91
0 24 95
0 25 70
0 26 54
0 27 18
0 28 62
0 29 43
0 30 2
0 31 77
0 32 85
0 33 54
0 34 72
0 35 29
0 36 52
0 37 75
0 38 70
0 39 13
0 40 93
0 41 29
0 42 35
0 43 6
0 44 18
0 45 20
0 46 33
0 47 14
0 48 85
0 49 13
0 50 55
0 51 67
0 52 36
0 53 62
0 54 36
0 55 61
0 56 56
0 57 8
0 58 44
0 59 83
0 60 59
0 61 97
0 62 49
0 63 56
0 64 67
0 65 57
0 66 92
0 67 64
0 68 23
0 69 67
0 70 17
0 71 68
0 72 92
0 73 51
0 74 75
0 75 58
0 76 3
0 77 33
0 78 4
0 79 88
0 80 56
0 81 62
0 82 10
0 83 32
0 84 86
0 85 23
0 86 65
0 87 21
0 88 25
0 89 64
0 90 69
0 91 26
0 92 80
0 93 7
0 94 62
0 95 32
0 96 57
0 97 39
0 98 33
0 99 71
0 100 78
0 101 5
0 102 43
0 103 1
0 104 54
0 105 59
0 106 37
0 107 46
0 108 19
0 109 49
0 110 18
0 111 41
0 112 66
0 113 39
0 114 52
0 115 77
0 116 22
0 117 42
0 118 82
0 119 86
0 120 3
0 121 83
0 122 84
0 123 1
0 124 60
0 125 1
0 126 50
0 127 28
0 128 38
0 129 11
0 130 51
0 131 54
0 132 65
0 133 87
0 134 14
0 135 16
0 136 93
0 137 31
0 138 39
0 139 72
0 140 83
0 141 95
0 142 36
0 143 30
0 144 37
0 145 62
0 146 54
0 147 65
0 148 55
0 149 53
0 150 99
0 151 46
0 152 3
0 153 57
0 154 6
0 155 47
0 156 19
0 157 80
0 158 5
0 159 30
0 160 94
0 161 41
0 162 8
0 163 55
0 164 88
0 165 13
0 166 88
0 167 84
0 168 26
0 169 55
0 170 0
0 171 41
0 172 15
0 173 11
0 174 28
0 175 60
0 176 43
0 177 14
0 178 74
0 179 47
0 180 41
0 181 46
0 182 61
0 183 79
0 184 52
0 185 57
0 186 12
0 187 95
0 188 49
0 189 67
0 190 81
0 191 10
0 192 14
0 193 71
0 194 30
0 195 82
0 196 90
0 197 78
0 198 74
0 199 61
1 1 40
1 2 81
1 3 56
1 4 52
1 5 86
1 6 67
1 7 27
1 8 43
1 9 97
1 10 82
1 11 25
1 12 75
1 13 5
1 14 42
1 15 51
1 16 57
1 17 36
1 18 6
1 19 80
1 20 70
1 21 37
1 22 2
1 23 17
1 24 28
1 25 6
1 26 17
1 27 87
1 28 4
1 29 22
1 30 88
1 31 6
1 32 59
1 33 31
1 34 10
1 35 6
1 36 33
1 37 77
1 38 82
1 39 87
1 40 51
1 41 69
1 42 37
1 43 71
1 44 65
1 45 30
1 46 1
1 47 34
1 48 49
1 49 12
1 50 4
1 51 88
1 52 8
1 53 34
1 54 9
1 55 65
1 56 63
1 57 47
1 58 49
1 59 26
1 60 62
1 61 34
1 62 86
1 63 39
1 64 52
1 65 83
1 66 77
1 67 64
1 68 51
1 69 19
1 70 55
1 71 41
1 72 41
1 73 64
1 74 60
1 75 43
1 76 56
1 77 87
1 78 30
1 79 59
1 80 34
1 81 88
1 82 85
1 83 74
1 84 54
1 85 42
1 86 76
1 87 73
1 88 57
1 89 71
1 90 85
1 91 45
1 92 3
1 93 95
1 94 57
1 95 61
1 96 14
1 97 51
1 98 73
1 99 65
1 100 95
1 101 12
1 102 33
1 103 71
1 104 54
1 105 38
1 106 32
1 107 15
1 108 7
1 109 27
1 110 91
1 111 40
1 112 66
1 113 44
1 114 35
