100 100
0 0 48
0 1 83
0 2 62
0 3 21
0 4 24
0 5 80
0 6 26
0 7 54
0 8 6
0 9 26
0 10 69
0 11 68
0 12 67
0 13 37
0 14 35
0 15 15
0 16 96
0 17 62
0 18 17
0 19 5
0 20 32
0 21 43
0 22 6
0 23 19
0 24 60
0 25 46
0 26 68
0 27 1
0 28 21
0 29 37
0 30 87
0 31 64
0 32 91
0 33 63
0 34 79
0 35 43
0 36 25
0 37 43
0 38 99
0 39 9
0 40 43
0 41 48
0 42 46
0 43 61
0 44 65
0 45 65
0 46 9
0 47 30
0 48 40
0 49 87
0 50 62
0 51 36
0 52 23
0 53 78
0 54 10
0 55 25
0 56 82
0 57 78
0 58 1
0 59 24
0 60 31
0 61 21
0 62 10
0 63 92
0 64 86
0 65 8
0 66 40
0 67 85
0 68 78
0 69 65
0 70 57
0 71 23
0 72 30
0 73 9
0 74 21
0 75 64
0 76 67
0 77 21
0 78 73
0 79 85
0 80 91
0 81 33
0 82 32
0 83 58
0 84 41
0 85 92
0 86 91
0 87 3
0 88 77
0 89 49
0 90 11
0 91 2
0 92 37
0 93 32
0 94 39
0 95 47
0 96 33
0 97 25
0 98 79
0 99 18
1 1 29
1 2 84
1 3 85
1 4 0
1 5 15
1 6 82
1 7 14
1 8 82
1 9 10
1 10 55
1 11 43
1 12 53
1 13 90
1 14 46
1 15 84
1 16 27
1 17 81
1 18 85
1 19 80
1 20 85
1 21 50
1 22 71
1 23 68
1 24 41
1 25 34
1 26 11
1 27 86
1 28 15
1 29 15
1 30 21
1 31 94
1 32 2
1 33 24
1 34 42
1 35 5
1 36 36
1 37 65
1 38 39
1 39 12
1 40 69
1 41 54
1 42 39
1 43 77
1 44 84
1 45 11
1 46 72
1 47 72
1 48 41
1 49 73
1 50 96
1 51 16
1 52 13
1 53 29
1 54 87
1 55 33
1 56 17
1 57 69
1 58 14
1 59 77
1 60 1
1 61 58
1 62 21
1 63 95
1 64 87
1 65 30
1 66 12
1 67 65
1 68 65
1 69 52
1 70 97
1 71 60
1 72 80
1 73 4
1 74 48
1 75 0
1 76 19
1 77 65
1 78 22
1 79 60
1 80 65
1 81 27
1 82 89
1 83 88
1 84 60
1 85 49
1 86 98
1 87 31
1 88 96
1 89 60
1 90 62
1 91 24
1 92 99
1 93 11
1 94 11
1 95 62
1 96 26
1 97 36
1 98 52
1 99 71
2 2 83
2 3 93
2 4 66
2 5 33
2 6 36
2 7 19
2 8 38
2 9 12
2 10 2
2 11 95
2 12 8
2 13 57
2 14 35
2 15 33
2 16 0
2 17 77
2 18 80
2 19 98
2 20 55
2 21 98
2 22 82
2 23 85
2 24 95
2 25 10
2 26 60
2 27 38
2 28 32
2 29 19
2 30 22
2 31 68
2 32 2
2 33 27
2 34 36
2 35 63
2 36 48
2 37 44
2 38 9
2 39 67
2 40 80
2 41 61
2 42 49
2 43 58
2 44 59
2 45 49
2 46 59
2 47 39
2 48 42
2 49 36
2 50 59
2 51 53
2 52 70
2 53 48
2 54 96
2 55 6
2 56 86
2 57 70
2 58 42
2 59 51
2 60 55
2 61 65
2 62 74
2 63 65
2 64 98
2 65 60
2 66 55
2 67 13
2 68 63
2 69 3
2 70 14
2 71 59
2 72 85
2 73 13
2 74 80
2 75 84
2 76 89
2 77 90
2 78 72
2 79 61
2 80 96
2 81 13
2 82 64
2 83 7
2 84 88
2 85 48
2 86 50
2 87 25
2 88 95
2 89 68
2 90 44
2 91 33
2 92 9
2 93 18
2 94 93
2 95 16
2 96 46
2 97 34
2 98 56
2 99 86
3 3 68
3 4 4
3 5 75
3 6 25
3 7 52
3 8 89
3 9 30
3 10 59
3 11 2
3 12 75
3 13 27
3 14 29
3 15 57
3 16 20
3 17 98
3 18 73
3 19 15
3 20 83
3 21 9
3 22 61
3 23 60
3 24 70
3 25 10
3 26 73
3 27 1
3 28 60
3 29 9
3 30 7
3 31 43
3 32 75
3 33 21
3 34 97
3 35 93
3 36 16
3 37 26
3 38 7
3 39 20
3 40 91
3 41 52
3 42 1
3 43 65
3 44 55
3 45 98
3 46 7
3 47 6
3 48 88
3 49 37
3 50 72
3 51 42
3 52 10
3 53 66
3 54 38
3 55 0
3 56 21
3 57 14
3 58 81
3 59 28
3 60 94
3 61 96
3 62 19
3 63 78
3 64 85
3 65 60
3 66 59
3 67 73
3 68 35
3 69 79
3 70 57
3 71 53
3 72 71
3 73 74
3 74 82
3 75 85
3 76 94
3 77 0
3 78 83
3 79 92
3 80 77
3 81 10
3 82 92
3 83 51
3 84 57
3 85 30
3 86 53
3 87 33
3 88 55
3 89 62
3 90 98
3 91 89
3 92 81
3 93 76
3 94 95
3 95 89
3 96 35
3 97 46
3 98 81
3 99 88
4 4 32
4 5 50
4 6 52
4 7 67
4 8 18
4 9 5
4 10 51
4 11 58
4 12 20
4 13 1
4 14 78
4 15 82
4 16 83
4 17 56
4 18 19
4 19 10
4 20 95
4 21 10
4 22 57
4 23 38
4 24 5
4 25 2
4 26 42
4 27 13
4 28 32
4 29 96
4 30 36
4 31 36
4 32 3
4 33 43
4 34 24
4 35 98
4 36 87
4 37 32
4 38 97
4 39 58
4 40 13
4 41 55
4 42 76
4 43 54
4 44 84
4 45 67
4 46 33
4 47 30
4 48 87
4 49 97
4 50 54
4 51 93
4 52 7
4 53 62
4 54 78
4 55 2
4 56 83
4 57 98
4 58 19
4 59 0
4 60 79
4 61 20
4 62 51
4 63 20
4 64 26
4 65 68
4 66 64
4 67 41
4 68 8
4 69 44
4 70 64
4 71 17
4 72 58
4 73 4
4 74 57
4 75 71
4 76 37
4 77 4
4 78 24
4 79 85
4 80 79
4 81 64
4 82 97
4 83 38
4 84 30
4 85 72
4 86 4
4 87 9
4 88 77
4 89 44
4 90 16
4 91 50
4 92 84
4 93 37
4 94 0
4 95 22
4 96 58
4 97 61
4 98 68
4 99 60
5 5 42
5 6 22
5 7 49
5 8 2
5 9 54
5 10 45
5 11 31
5 12 69
5 13 68
5 14 25
5 15 49
5 16 34
5 17 3
5 18 79
5 19 14
5 20 62
5 21 11
5 22 61
5 23 81
5 24 30
5 25 19
5 26 76
5 27 10
5 28 52
5 29 95
5 30 45
5 31 94
5 32 8
5 33 28
5 34 51
5 35 24
5 36 76
5 37 32
5 38 56
5 39 55
5 40 65
5 41 0
5 42 55
5 43 90
5 44 3
5 45 67
5 46 35
5 47 8
5 48 81
5 49 48
5 50 45
5 51 93
5 52 99
5 53 49
5 54 64
5 55 14
5 56 71
5 57 81
5 58 60
5 59 8
5 60 45
5 61 75
5 62 87
5 63 60
5 64 71
5 65 42
5 66 21
5 67 91
5 68 14
5 69 81
5 70 65
5 71 62
5 72 10
5 73 62
5 74 44
5 75 95
5 76 93
5 77 60
5 78 68
5 79 37
5 80 15
5 81 8
5 82 43
5 83 15
5 84 67
5 85 21
5 86 73
5 87 92
5 88 52
5 89 34
5 90 59
5 91 26
5 92 57
5 93 56
5 94 33
5 95 90
5 96 3
5 97 1
5 98 14
5 99 20
6 6 12
6 7 69
6 8 75
6 9 94
6 10 47
6 11 46
6 12 20
6 13 93
6 14 29
6 15 67
6 16 41
6 17 2
6 18 66
6 19 70
6 20 41
6 21 82
6 22 40
6 23 49
6 24 54
6 25 31
6 26 76
6 27 81
6 28 60
6 29 7
6 30 95
6 31 59
6 32 34
6 33 78
6 34 67
6 35 66
6 36 59
6 37 91
6 38 93
6 39 21
6 40 2
6 41 3
6 42 62
6 43 67
6 44 29
6 45 87
6 46 45
6 47 58
6 48 26
6 49 31
6 50 73
6 51 19
6 52 78
6 53 44
6 54 74
6 55 43
6 56 38
6 57 31
6 58 4
6 59 55
6 60 60
6 61 45
6 62 95
6 63 47
6 64 77
6 65 8
6 66 67
6 67 67
6 68 74
6 69 50
6 70 20
6 71 38
6 72 97
6 73 12
6 74 56
6 75 38
6 76 6
6 77 11
6 78 42
6 79 8
6 80 49
6 81 21
6 82 31
6 83 1
6 84 69
6 85 10
6 86 14
6 87 98
6 88 9
6 89 61
6 90 87
6 91 12
6 92 32
6 93 51
6 94 38
6 95 92
6 96 26
6 97 39
6 98 89
6 99 52
7 7 29
7 8 24
7 9 70
7 10 74
7 11 13
7 12 95
7 13 99
7 14 24
7 15 66
7 16 83
7 17 77
7 18 17
7 19 43
7 20 2
7 21 29
7 22 77
7 23 64
7 24 88
7 25 1
7 26 65
7 27 30
7 28 4
7 29 24
7 30 47
7 31 15
7 32 70
7 33 94
7 34 32
7 35 99
7 36 7
7 37 11
7 38 39
7 39 84
7 40 77
7 41 38
7 42 20
7 43 33
7 44 77
7 45 57
7 46 8
7 47 5
7 48 39
7 49 47
7 50 49
7 51 4
7 52 95
7 53 89
7 54 53
7 55 9
7 56 6
7 57 45
7 58 36
7 59 60
7 60 31
7 61 86
7 62 19
7 63 38
7 64 35
7 65 98
7 66 0
7 67 3
7 68 12
7 69 42
7 70 20
7 71 61
7 72 77
7 73 83
7 74 47
7 75 20
7 76 9
7 77 61
7 78 89
7 79 20
7 80 73
7 81 34
7 82 91
7 83 29
7 84 12
7 85 74
7 86 94
7 87 2
7 88 16
7 89 84
7 90 14
7 91 97
7 92 59
7 93 59
7 94 9
7 95 39
7 96 78
7 97 96
7 98 86
7 99 86
8 8 37
8 9 52
8 10 20
8 11 82
8 12 27
8 13 92
8 14 70
8 15 13
8 16 29
8 17 7
8 18 99
8 19 37
8 20 51
8 21 95
8 22 73
8 23 85
8 24 40
8 25 7
8 26 6
8 27 46
8 28 23
8 29 2
8 30 0
8 31 71
8 32 12
8 33 49
8 34 13
8 35 84
8 36 21
8 37 68
8 38 53
8 39 56
8 40 0
8 41 61
8 42 85
8 43 6
8 44 60
8 45 75
8 46 50
8 47 91
8 48 73
8 49 53
8 50 32
8 51 91
8 52 12
8 53 38
8 54 26
8 55 44
8 56 72
8 57 6
8 58 87
8 59 46
8 60 51
8 61 44
8 62 43
8 63 21
8 64 97
8 65 29
8 66 16
8 67 41
8 68 42
8 69 44
8 70 49
8 71 74
8 72 66
8 73 33
8 74 5
8 75 57
8 76 27
8 77 19
8 78 85
8 79 58
8 80 12
8 81 66
